# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster37	26	Q3MHM5	GO:0000278; P:mitotic cell cycle; IBA:GO_Central	bGalGal|ENSGALP00010001325.1;bGalGal|ENSGALP00010010881.1;bGalGal|ENSGALP00010015496.1;bGalGal|ENSGALP00010017690.1;bGalGal|ENSGALP00010022666.1;bGalGal|ENSGALP00010040845.1;bGymCal|ENSGALT00010002775.2;bGymCal|ENSGALT00010019333.12;bGymCal|ENSGALT00010030507.2;bGymCal|ENSGALT00010039275.37;bGymCal|ENSGALT00010066714.16;bGypBar|ENSGALT00010002775.1;bGypBar|ENSGALT00010019333.9042;bGypBar|ENSGALT00010027214.13;bGypBar|ENSGALT00010030507.13;bGypBar|ENSGALT00010039275.52;bGypBar|ENSGALT00010066714.27;bGypHim|ENSGALT00010002775.54;bGypHim|ENSGALT00010019333.12933;bGypHim|ENSGALT00010027214.18;bGypHim|ENSGALT00010030507.18;bGypHim|ENSGALT00010039275.323;bGypHim|ENSGALT00010066714.92;bVulGry|ENSGALT00010002775.2;bVulGry|ENSGALT00010039275.38;bVulGry|ENSGALT00010066714.16
cluster39	24	Q98U06	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010000941.1;bGalGal|ENSGALP00010042572.1;bGalGal|ENSGALP00010042573.1;bGalGal|ENSGALP00010042596.1;bGypBar|ENSGALT00010001738.17083;bGypBar|ENSGALT00010069128.1891;bGypBar|ENSGALT00010069128.2891;bGypBar|ENSGALT00010069166.13613;bGypBar|ENSGALT00010069168.2891;bGypBar|ENSGALT00010069168.3192;bGypBar|ENSGALT00010069168.579;bGypBar|ENSGALT00010069168.9384;bGypHim|ENSGALT00010001738.17185;bGypHim|ENSGALT00010001738.17186;bGypHim|ENSGALT00010020774.46970;bGypHim|ENSGALT00010069128.6167;bGypHim|ENSGALT00010069128.6475;bGypHim|ENSGALT00010069129.1028;bGypHim|ENSGALT00010069129.1242;bGypHim|ENSGALT00010069129.1351;bGypHim|ENSGALT00010069130.680;bGypHim|ENSGALT00010069166.497;bGypHim|ENSGALT00010069166.5054;bGypHim|ENSGALT00010069166.5233
cluster45	23	N/A	N/A	bGalGal|ENSGALP00010002408.1;bGalGal|ENSGALP00010002804.1;bGalGal|ENSGALP00010003229.1;bGymCal|ENSGALT00010004111.4698;bGymCal|ENSGALT00010004111.4746;bGymCal|ENSGALT00010004111.7778;bGypBar|ENSGALT00010004111.1664;bGypBar|ENSGALT00010004111.1667;bGypBar|ENSGALT00010004111.1668;bGypBar|ENSGALT00010004111.1669;bGypBar|ENSGALT00010004111.1738;bGypBar|ENSGALT00010004111.1740;bGypBar|ENSGALT00010004111.2017;bGypBar|ENSGALT00010004111.3223;bGypHim|ENSGALT00010004111.1706;bGypHim|ENSGALT00010004111.1708;bGypHim|ENSGALT00010004111.1846;bGypHim|ENSGALT00010004111.2855;bGypHim|ENSGALT00010004111.4256;bGypHim|ENSGALT00010004111.5748;bGypHim|ENSGALT00010004111.5905;bGypHim|ENSGALT00010004111.6216;bVulGry|ENSGALT00010004111.839
cluster47	23	P15389	GO:0021537; P:telencephalon development; IEP:RGD	bGalGal|ENSGALP00010032719.1;bGalGal|ENSGALP00010034969.1;bGalGal|ENSGALP00010038476.1;bGalGal|ENSGALP00010038628.1;bGalGal|ENSGALP00010038676.1;bGalGal|ENSGALP00010039646.1;bGalGal|ENSGALP00010039668.1;bGalGal|ENSGALP00010039879.1;bGalGal|ENSGALP00010039935.1;bGymCal|ENSGALT00010057570.36;bGymCal|ENSGALT00010062246.7;bGymCal|ENSGALT00010065669.2;bGypBar|ENSGALT00010054197.81;bGypBar|ENSGALT00010057570.49;bGypBar|ENSGALT00010062246.8;bGypBar|ENSGALT00010065669.3;bGypHim|ENSGALT00010054197.387;bGypHim|ENSGALT00010057570.222;bGypHim|ENSGALT00010062245.110;bGypHim|ENSGALT00010065669.144;bVulGry|ENSGALT00010057570.36;bVulGry|ENSGALT00010062245.7;bVulGry|ENSGALT00010065669.2
cluster48	22	Q8TC36	GO:0007283; P:spermatogenesis; IEP:UniProtKB	bGalGal|ENSGALP00010021747.1;bGalGal|ENSGALP00010021758.1;bGalGal|ENSGALP00010021773.1;bGymCal|ENSGALT00010007741.107359;bGymCal|ENSGALT00010066186.90378;bGypBar|ENSGALT00010007741.55900;bGypBar|ENSGALT00010037620.27771;bGypBar|ENSGALT00010037620.8367;bGypBar|ENSGALT00010037646.1233;bGypBar|ENSGALT00010037646.1662;bGypBar|ENSGALT00010066186.13605;bGypBar|ENSGALT00010066186.38816;bGypHim|ENSGALT00010007652.19109;bGypHim|ENSGALT00010007741.56167;bGypHim|ENSGALT00010037646.1644;bGypHim|ENSGALT00010037646.8208;bGypHim|ENSGALT00010037674.12520;bGypHim|ENSGALT00010066186.22218;bGypHim|ENSGALT00010066186.59602;bGypHim|ENSGALT00010066186.65788;bVulGry|ENSGALT00010007741.121394;bVulGry|ENSGALT00010066186.53356
cluster66	20	Q9PSV3	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010038796.1;bGalGal|ENSGALP00010038830.1;bGalGal|ENSGALP00010038832.1;bGalGal|ENSGALP00010038834.1;bGalGal|ENSGALP00010038841.1;bGalGal|ENSGALP00010038859.1;bGalGal|ENSGALP00010038886.1;bGalGal|ENSGALP00010038918.1;bGalGal|ENSGALP00010038923.1;bGalGal|ENSGALP00010038926.1;bGalGal|ENSGALP00010038929.1;bGalGal|ENSGALP00010038930.1;bGalGal|ENSGALP00010038938.1;bGalGal|ENSGALP00010038957.1;bGalGal|ENSGALP00010038964.1;bGalGal|ENSGALP00010038969.1;bGalGal|ENSGALP00010038972.1;bGalGal|ENSGALP00010039487.1;bGalGal|ENSGALP00010039706.1;bGypBar|ENSGALT00010069121.1161
cluster75	18	P30205	GO:0005044; F:scavenger receptor activity; IEA:InterPro	bGalGal|ENSGALP00010002027.1;bGalGal|ENSGALP00010002238.1;bGalGal|ENSGALP00010002286.1;bGalGal|ENSGALP00010002333.1;bGalGal|ENSGALP00010002429.1;bGalGal|ENSGALP00010004456.1;bGalGal|ENSGALP00010006249.1;bGalGal|ENSGALP00010006572.1;bGalGal|ENSGALP00010027963.1;bGalGal|ENSGALP00010032299.1;bGalGal|ENSGALP00010036076.1;bGalGal|ENSGALP00010039149.1;bGalGal|ENSGALP00010039183.1;bGalGal|ENSGALP00010039198.1;bGalGal|ENSGALP00010039202.1;bGalGal|ENSGALP00010039232.1;bGalGal|ENSGALP00010039239.1;bGypHim|ENSGALT00010063556.4972
cluster81	18	P04459	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010040455.1;bGalGal|ENSGALP00010042784.1;bGalGal|ENSGALP00010042785.1;bGalGal|ENSGALP00010042786.1;bGalGal|ENSGALP00010042790.1;bGymCal|ENSGALT00010069494.73;bGymCal|ENSGALT00010069499.73;bGymCal|ENSGALT00010069511.73;bGypBar|ENSGALT00010069096.1099;bGypBar|ENSGALT00010069499.86;bGypBar|ENSGALT00010069511.86;bGypBar|ENSGALT00010069575.107;bGypHim|ENSGALT00010020774.36555;bGypHim|ENSGALT00010066187.587;bGypHim|ENSGALT00010069084.1095;bGypHim|ENSGALT00010069482.587;bGypHim|ENSGALT00010069511.587;bVulGry|ENSGALT00010069828.1578
cluster83	17	A2AQP0	GO:0003774; F:motor activity; IEA:InterPro	bGalGal|ENSGALP00010000740.1;bGalGal|ENSGALP00010006433.1;bGalGal|ENSGALP00010033390.1;bGalGal|ENSGALP00010044001.1;bGalGal|ENSGALP00010044096.1;bGalGal|ENSGALP00010044125.1;bGymCal|ENSGALT00010011444.1;bGymCal|ENSGALT00010071434.18;bGypBar|ENSGALT00010011444.6;bGypBar|ENSGALT00010055190.30;bGypBar|ENSGALT00010071310.714;bGypBar|ENSGALT00010071406.29;bGypHim|ENSGALT00010011444.7;bGypHim|ENSGALT00010071308.1205;bGypHim|ENSGALT00010071399.667;bVulGry|ENSGALT00010011444.1;bVulGry|ENSGALT00010055182.19
cluster87	17	N/A	N/A	bGalGal|ENSGALP00010003055.1;bGalGal|ENSGALP00010004559.1;bGalGal|ENSGALP00010004678.1;bGalGal|ENSGALP00010004698.1;bGymCal|ENSGALT00010005182.1237;bGymCal|ENSGALT00010005182.1274;bGypBar|ENSGALT00010005182.148;bGypBar|ENSGALT00010005182.1745;bGypBar|ENSGALT00010005182.181;bGypBar|ENSGALT00010005182.187;bGypBar|ENSGALT00010005182.691;bGypBar|ENSGALT00010005182.730;bGypBar|ENSGALT00010005182.737;bGypBar|ENSGALT00010005183.7740;bGypHim|ENSGALT00010005182.1006;bGypHim|ENSGALT00010005182.1018;bGypHim|ENSGALT00010005182.1056
cluster133	15	Q5DRB8	GO:0007156; P:homophilic cell adhesion via plasma membrane adhesion molecules; IEA:InterPro	bGalGal|ENSGALP00010015514.1;bGalGal|ENSGALP00010015536.1;bGalGal|ENSGALP00010015550.1;bGalGal|ENSGALP00010015597.1;bGalGal|ENSGALP00010015624.1;bGalGal|ENSGALP00010015640.1;bGalGal|ENSGALP00010015681.1;bGypBar|ENSGALT00010026588.1505;bGypBar|ENSGALT00010027386.19;bGypBar|ENSGALT00010027386.231;bGypHim|ENSGALT00010026359.3890;bGypHim|ENSGALT00010026567.8296;bGypHim|ENSGALT00010026588.1023;bGypHim|ENSGALT00010026588.2093;bGypHim|ENSGALT00010027105.867
cluster162	14	Q6ZN84	GO:0005737; C:cytoplasm; IEA:UniProtKB-KW	bGalGal|ENSGALP00010008507.1;bGalGal|ENSGALP00010011139.1;bGymCal|ENSGALT00010014490.5625;bGypBar|ENSGALT00010014490.1763;bGypBar|ENSGALT00010014490.1861;bGypBar|ENSGALT00010014490.2229;bGypBar|ENSGALT00010014490.342;bGypBar|ENSGALT00010014490.4740;bGypBar|ENSGALT00010014490.4764;bGypBar|ENSGALT00010014490.5280;bGypHim|ENSGALT00010014490.3093;bGypHim|ENSGALT00010014490.6401;bGypHim|ENSGALT00010014490.664;bGypHim|ENSGALT00010014490.918
cluster171	14	Q9Y5E3	GO:0007416; P:synapse assembly; TAS:UniProtKB	bGalGal|ENSGALP00010015251.1;bGalGal|ENSGALP00010015259.1;bGalGal|ENSGALP00010015276.1;bGalGal|ENSGALP00010015292.1;bGalGal|ENSGALP00010015323.1;bGalGal|ENSGALP00010015332.1;bGalGal|ENSGALP00010015345.1;bGalGal|ENSGALP00010015424.1;bGalGal|ENSGALP00010015460.1;bGalGal|ENSGALP00010017412.1;bGymCal|ENSGALT00010026351.18170;bGypBar|ENSGALT00010026835.203;bGypBar|ENSGALT00010026835.210;bGypHim|ENSGALT00010026537.1004
cluster188	13	Q8NGJ6	GO:0004984; F:olfactory receptor activity; IBA:GO_Central	bGalGal|ENSGALP00010004670.1;bGalGal|ENSGALP00010004683.1;bGalGal|ENSGALP00010004687.1;bGalGal|ENSGALP00010004897.1;bGalGal|ENSGALP00010004902.1;bGymCal|ENSGALT00010007778.119;bGypBar|ENSGALT00010002979.93749;bGypBar|ENSGALT00010007778.15;bGypHim|ENSGALT00010002979.142203;bGypHim|ENSGALT00010003964.122767;bGypHim|ENSGALT00010007778.529;bVulGry|ENSGALT00010003380.113925;bVulGry|ENSGALT00010003981.79441
cluster191	13	Q9BWX1	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010007568.1;bGalGal|ENSGALP00010007787.1;bGalGal|ENSGALP00010008335.1;bGalGal|ENSGALP00010008366.1;bGalGal|ENSGALP00010008394.1;bGalGal|ENSGALP00010008474.1;bGalGal|ENSGALP00010008489.1;bGalGal|ENSGALP00010008527.1;bGalGal|ENSGALP00010008544.1;bGalGal|ENSGALP00010008787.1;bGalGal|ENSGALP00010008928.1;bGalGal|ENSGALP00010009131.1;bGypBar|ENSGALT00010013225.123682
cluster200	13	Q9Y5G0	GO:0007156; P:homophilic cell adhesion via plasma membrane adhesion molecules; IEA:InterPro	bGalGal|ENSGALP00010015520.1;bGymCal|ENSGALT00010026602.283;bGypBar|ENSGALT00010026725.639;bGypBar|ENSGALT00010026725.656;bGypBar|ENSGALT00010027105.477;bGypBar|ENSGALT00010027260.19;bGypHim|ENSGALT00010026537.6718;bGypHim|ENSGALT00010026588.5361;bGypHim|ENSGALT00010026588.6775;bGypHim|ENSGALT00010026602.2093;bGypHim|ENSGALT00010026636.12647;bGypHim|ENSGALT00010027260.1137;bGypHim|ENSGALT00010027260.774
cluster228	12	Q8R2I0	GO:0006590; P:thyroid hormone generation; IMP:MGI	bGalGal|ENSGALP00010013466.1;bGalGal|ENSGALP00010021241.1;bGymCal|ENSGALT00010036486.6;bGymCal|ENSGALT00010036486.92401;bGypBar|ENSGALT00010023278.26;bGypBar|ENSGALT00010036486.47359;bGypBar|ENSGALT00010036486.63122;bGypHim|ENSGALT00010023278.318;bGypHim|ENSGALT00010036486.70696;bGypHim|ENSGALT00010036486.85;bGypHim|ENSGALT00010036486.96935;bVulGry|ENSGALT00010023278.15
cluster236	12	Q98913	GO:0007608; P:sensory perception of smell; IBA:GO_Central	bGalGal|ENSGALP00010030610.1;bGalGal|ENSGALP00010034367.1;bGalGal|ENSGALP00010034390.1;bGalGal|ENSGALP00010034403.1;bGalGal|ENSGALP00010034412.1;bGalGal|ENSGALP00010035198.1;bGalGal|ENSGALP00010035221.1;bGalGal|ENSGALP00010035229.1;bGalGal|ENSGALP00010035246.1;bGalGal|ENSGALP00010043105.1;bGypBar|ENSGALT00010003212.5620;bGypHim|ENSGALT00010004035.18852
