# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster11927	3	P06746	GO:0048536; P:spleen development; IEA:Ensembl	bGalGal|ENSGALP00010025921.1;bGalGal|ENSGALP00010027554.1;bGymCal|ENSGALT00010043584.43
cluster11982	3	Q8N3E9	GO:0042127; P:regulation of cell proliferation; IEA:Ensembl	bGalGal|ENSGALP00010028722.1;bGalGal|ENSGALP00010035233.1;bVulGry|ENSGALT00010058055.36
cluster12002	3	Q96JK2	GO:0016567; P:protein ubiquitination; IEA:UniProtKB-UniPathway	bGalGal|ENSGALP00010029042.1;bGalGal|ENSGALP00010044674.1;bVulGry|ENSGALT00010049125.4
cluster12084	3	P08514	GO:0045652; P:regulation of megakaryocyte differentiation; TAS:Reactome	bGalGal|ENSGALP00010033002.1;bGalGal|ENSGALP00010039160.1;bVulGry|ENSGALT00010063440.36
cluster12134	3	Q58DF6	GO:0015031; P:protein transport; IBA:GO_Central	bGalGal|ENSGALP00010035091.1;bGalGal|ENSGALP00010041421.1;bVulGry|ENSGALT00010067678.76
cluster12267	3	P26151	GO:0009617; P:response to bacterium; IMP:MGI	bGalGal|ENSGALP00010040887.1;bGalGal|ENSGALP00010042761.1;bVulGry|ENSGALT00010066813.116
cluster12650	2	Q12888	GO:0051260; P:protein homooligomerization; IDA:UniProtKB	bGalGal|ENSGALP00010000035.1;bVulGry|ENSGALT00010000059.11
cluster12652	2	Q9PU20	GO:0016055; P:Wnt signaling pathway; IEA:UniProtKB-KW	bGalGal|ENSGALP00010000078.1;bGymCal|ENSGALT00010000118.31759
cluster12653	2	P05063	GO:0051289; P:protein homotetramerization; ISO:MGI	bGalGal|ENSGALP00010000089.1;bVulGry|ENSGALT00010000138.47540
cluster12657	2	P15285	GO:0007585; P:respiratory gaseous exchange; IEA:UniProtKB-KW	bGalGal|ENSGALP00010000129.1;bVulGry|ENSGALT00010000259.854
cluster12660	2	P56270	GO:0006367; P:transcription initiation from RNA polymerase II promoter; IDA:UniProtKB	bGalGal|ENSGALP00010000162.1;bVulGry|ENSGALT00010000294.5239
cluster12662	2	Q6ZTV1	GO:0019902; F:phosphatase binding; IEA:InterPro	bGalGal|ENSGALP00010000330.1;bVulGry|ENSGALT00010000571.6198
cluster12663	2	Q767K6	GO:0000398; P:mRNA splicing, via spliceosome; ISS:UniProtKB	bGalGal|ENSGALP00010000339.1;bVulGry|ENSGALT00010000581.4874
cluster12665	2	O09111	GO:0055114; P:oxidation-reduction process; IEA:UniProtKB-KW	bGalGal|ENSGALP00010000381.1;bVulGry|ENSGALT00010000670.645
cluster12669	2	Q96K30	GO:0051168; P:nuclear export; IDA:UniProtKB	bGalGal|ENSGALP00010000509.1;bGymCal|ENSGALT00010000954.41
cluster12672	2	Q86UY6	GO:0061187; P:regulation of chromatin silencing at rDNA; IBA:GO_Central	bGalGal|ENSGALP00010000571.1;bVulGry|ENSGALT00010001177.3122
cluster12673	2	N/A	N/A	bGalGal|ENSGALP00010000581.1;bVulGry|ENSGALT00010001206.171
cluster12674	2	A6NNE9	GO:0016567; P:protein ubiquitination; IEA:UniProtKB-UniPathway	bGalGal|ENSGALP00010000656.1;bVulGry|ENSGALT00010001285.2
cluster12675	2	Q9CRC0	GO:0042373; P:vitamin K metabolic process; IDA:MGI	bGalGal|ENSGALP00010000722.1;bGymCal|ENSGALT00010001351.1246
cluster12676	2	N/A	N/A	bGalGal|ENSGALP00010000743.1;bGymCal|ENSGALT00010001372.1246
cluster12680	2	Q7YRK6	GO:0005739; C:mitochondrion; IEA:UniProtKB-SubCell	bGalGal|ENSGALP00010001009.1;bVulGry|ENSGALT00010001807.141
cluster12685	2	N/A	N/A	bGalGal|ENSGALP00010001151.1;bGymCal|ENSGALT00010002601.6
cluster12686	2	Q5ZMD4	GO:0008270; F:zinc ion binding; IEA:InterPro	bGalGal|ENSGALP00010001213.1;bVulGry|ENSGALT00010002662.9
cluster12688	2	Q9YH95	GO:0006355; P:regulation of transcription, DNA-templated; ISS:UniProtKB	bGalGal|ENSGALP00010001350.1;bVulGry|ENSGALT00010002800.94
cluster12689	2	Q5ZHN5	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010001394.1;bVulGry|ENSGALT00010002844.1
cluster12692	2	Q5RBG4	GO:0040008; P:regulation of growth; IEA:UniProtKB-KW	bGalGal|ENSGALP00010001515.1;bVulGry|ENSGALT00010002971.502
cluster12693	2	Q90655	GO:0045892; P:negative regulation of transcription, DNA-templated; IDA:Roslin	bGalGal|ENSGALP00010001526.1;bVulGry|ENSGALT00010002986.2
cluster12695	2	N/A	N/A	bGalGal|ENSGALP00010001533.1;bVulGry|ENSGALT00010002987.502
cluster12699	2	Q9PU13	GO:0051446; P:positive regulation of meiotic cell cycle; IMP:UniProtKB	bGalGal|ENSGALP00010001608.1;bVulGry|ENSGALT00010003100.259
cluster12701	2	A0M8U1	GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW	bGalGal|ENSGALP00010001894.1;bGymCal|ENSGALT00010003452.1
cluster12704	2	P70031	GO:0004930; F:G protein-coupled receptor activity; IEA:UniProtKB-KW	bGalGal|ENSGALP00010002022.1;bVulGry|ENSGALT00010003590.1
cluster12705	2	Q04519	GO:0023021; P:termination of signal transduction; ISO:MGI	bGalGal|ENSGALP00010002042.1;bVulGry|ENSGALT00010003625.1
cluster12706	2	Q5RDJ0	GO:0015031; P:protein transport; IEA:UniProtKB-KW	bGalGal|ENSGALP00010002101.1;bVulGry|ENSGALT00010003738.1
cluster12710	2	O57601	GO:0006355; P:regulation of transcription, DNA-templated; IEA:InterPro	bGalGal|ENSGALP00010002428.1;bVulGry|ENSGALT00010004131.8
cluster12712	2	Q9H0K6	GO:0001522; P:pseudouridine synthesis; IEA:InterPro	bGalGal|ENSGALP00010002537.1;bVulGry|ENSGALT00010004240.1
cluster12713	2	Q6W3F0	GO:0018401; P:peptidyl-proline hydroxylation to 4-hydroxy-L-proline; IBA:GO_Central	bGalGal|ENSGALP00010002614.1;bVulGry|ENSGALT00010004336.70
cluster12714	2	P49650	GO:0023019; P:signal transduction involved in regulation of gene expression; ISO:MGI	bGalGal|ENSGALP00010002653.1;bVulGry|ENSGALT00010004376.1
cluster12715	2	P11414	GO:0006366; P:transcription by RNA polymerase II; ISS:UniProtKB	bGalGal|ENSGALP00010002904.1;bVulGry|ENSGALT00010004813.535
cluster12716	2	O02740	GO:0007601; P:visual perception; IEA:UniProtKB-KW	bGalGal|ENSGALP00010003080.1;bVulGry|ENSGALT00010005222.1
cluster12717	2	Q8N5I4	GO:0010508; P:positive regulation of autophagy; IMP:UniProtKB	bGalGal|ENSGALP00010003191.1;bVulGry|ENSGALT00010005353.1
cluster12719	2	Q14980	GO:0060236; P:regulation of mitotic spindle organization; IDA:UniProtKB	bGalGal|ENSGALP00010003443.1;bGymCal|ENSGALT00010005600.2771
cluster12722	2	Q5STK9	GO:0016032; P:viral process; IEA:UniProtKB-KW	bGalGal|ENSGALP00010003591.1;bVulGry|ENSGALT00010005784.130
cluster12723	2	O43184	GO:0045766; P:positive regulation of angiogenesis; IMP:BHF-UCL	bGalGal|ENSGALP00010003681.1;bGymCal|ENSGALT00010005907.8
cluster12724	2	Q9HD20	GO:0034220; P:ion transmembrane transport; TAS:Reactome	bGalGal|ENSGALP00010003690.1;bVulGry|ENSGALT00010005930.134
cluster12729	2	Q63HQ9	GO:0016032; P:viral process; IEA:UniProtKB-KW	bGalGal|ENSGALP00010004311.1;bVulGry|ENSGALT00010007149.283
cluster12730	2	P28078	GO:0065003; P:protein-containing complex assembly; IDA:MGI	bGalGal|ENSGALP00010004328.1;bVulGry|ENSGALT00010007190.283
cluster12735	2	P78536	GO:0035313; P:wound healing, spreading of epidermal cells; IEP:BHF-UCL	bGalGal|ENSGALP00010004700.1;bGymCal|ENSGALT00010007836.3
cluster12737	2	Q9UKJ4	GO:0016032; P:viral process; IEA:UniProtKB-KW	bGalGal|ENSGALP00010004970.1;bGymCal|ENSGALT00010008471.364
cluster12739	2	Q8BG93	GO:0000302; P:response to reactive oxygen species; IDA:MGI	bGalGal|ENSGALP00010005264.1;bGymCal|ENSGALT00010008926.1
cluster12740	2	P55212	GO:0042981; P:regulation of apoptotic process; TAS:Reactome	bGalGal|ENSGALP00010005314.1;bVulGry|ENSGALT00010008999.5
cluster12741	2	Q5F3X8	GO:0006886; P:intracellular protein transport; IBA:GO_Central	bGalGal|ENSGALP00010005382.1;bGymCal|ENSGALT00010009092.5
cluster12744	2	Q6IBR1	GO:0000387; P:spliceosomal snRNP assembly; IMP:UniProtKB	bGalGal|ENSGALP00010005469.1;bVulGry|ENSGALT00010009236.495
cluster12745	2	Q8BGA9	GO:0051262; P:protein tetramerization; ISS:UniProtKB	bGalGal|ENSGALP00010005471.1;bVulGry|ENSGALT00010009253.213
cluster12749	2	Q9H4T2	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010005915.1;bVulGry|ENSGALT00010010121.122
cluster12751	2	Q13263	GO:0016032; P:viral process; IEA:UniProtKB-KW	bGalGal|ENSGALP00010005990.1;bVulGry|ENSGALT00010010238.122
cluster12752	2	Q9UC06	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010006001.1;bVulGry|ENSGALT00010010256.122
cluster12756	2	Q2PFW9	GO:0000398; P:mRNA splicing, via spliceosome; IEA:InterPro	bGalGal|ENSGALP00010006051.1;bGymCal|ENSGALT00010010356.4
cluster12759	2	Q99626	GO:0001829; P:trophectodermal cell differentiation; IEA:Ensembl	bGalGal|ENSGALP00010006180.1;bVulGry|ENSGALT00010010672.1
cluster12760	2	Q5EBL2	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010006198.1;bVulGry|ENSGALT00010010733.202
cluster12761	2	B6A7Q3	GO:0016055; P:Wnt signaling pathway; IEA:UniProtKB-KW	bGalGal|ENSGALP00010006318.1;bVulGry|ENSGALT00010011092.2
cluster12762	2	Q9I8F4	GO:0000086; P:G2/M transition of mitotic cell cycle; ISS:UniProtKB	bGalGal|ENSGALP00010006504.1;bGymCal|ENSGALT00010011633.3
cluster12763	2	Q9Y4X1	GO:0007608; P:sensory perception of smell; IEA:UniProtKB-KW	bGalGal|ENSGALP00010006551.1;bGymCal|ENSGALT00010011694.5
cluster12766	2	P84407	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010006704.1;bVulGry|ENSGALT00010011996.64
cluster12771	2	Q6NXP6	GO:0016491; F:oxidoreductase activity; IEA:UniProtKB-KW	bGalGal|ENSGALP00010007148.1;bVulGry|ENSGALT00010012582.4
cluster12772	2	Q9Y5B8	GO:0006228; P:UTP biosynthetic process; IEA:InterPro	bGalGal|ENSGALP00010007223.1;bVulGry|ENSGALT00010012654.1
cluster12774	2	A8MTL3	GO:0007129; P:synapsis; IBA:GO_Central	bGalGal|ENSGALP00010007444.1;bVulGry|ENSGALT00010012882.501
cluster12775	2	Q8ND23	GO:0005886; C:plasma membrane; IDA:UniProtKB	bGalGal|ENSGALP00010007457.1;bVulGry|ENSGALT00010012895.501
cluster12777	2	Q5ZMR9	GO:0006611; P:protein export from nucleus; IBA:GO_Central	bGalGal|ENSGALP00010007672.1;bVulGry|ENSGALT00010013110.1
cluster12778	2	O76074	GO:0007165; P:signal transduction; IEA:InterPro	bGalGal|ENSGALP00010007715.1;bVulGry|ENSGALT00010013153.20
