# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster28	29	Q8IUE6	GO:0006325; P:chromatin organization; IBA:GO_Central	bGalGal|ENSGALP00010017138.1;bGalGal|ENSGALP00010017144.1;bGalGal|ENSGALP00010017191.1;bGalGal|ENSGALP00010019341.1;bGalGal|ENSGALP00010040412.1;bGymCal|ENSGALT00010029346.1;bGymCal|ENSGALT00010029362.35681;bGymCal|ENSGALT00010029367.925;bGymCal|ENSGALT00010029374.1;bGymCal|ENSGALT00010029374.1928;bGymCal|ENSGALT00010029499.1;bGymCal|ENSGALT00010029564.2594;bGymCal|ENSGALT00010066146.14;bGypBar|ENSGALT00010029367.555;bGypBar|ENSGALT00010029374.23;bGypBar|ENSGALT00010029486.23;bGypBar|ENSGALT00010029499.23;bGypBar|ENSGALT00010029564.1359;bGypBar|ENSGALT00010032636.23;bGypBar|ENSGALT00010066146.24;bGypHim|ENSGALT00010029158.18755;bGypHim|ENSGALT00010029346.226;bGypHim|ENSGALT00010029486.226;bGypHim|ENSGALT00010029486.919;bGypHim|ENSGALT00010029499.226;bGypHim|ENSGALT00010029564.1666;bGypHim|ENSGALT00010032636.226;bGypHim|ENSGALT00010066146.9;bVulGry|ENSGALT00010066146.14
cluster32	28	N/A	N/A	bGalGal|ENSGALP00010001971.1;bGalGal|ENSGALP00010003278.1;bGalGal|ENSGALP00010004566.1;bGalGal|ENSGALP00010004632.1;bGalGal|ENSGALP00010004634.1;bGalGal|ENSGALP00010004658.1;bGalGal|ENSGALP00010004667.1;bGalGal|ENSGALP00010004690.1;bGalGal|ENSGALP00010004695.1;bGalGal|ENSGALP00010004715.1;bGalGal|ENSGALP00010004731.1;bGalGal|ENSGALP00010004753.1;bGalGal|ENSGALP00010004764.1;bGalGal|ENSGALP00010004768.1;bGalGal|ENSGALP00010004773.1;bGymCal|ENSGALT00010003529.13094;bGymCal|ENSGALT00010003529.18201;bGypBar|ENSGALT00010003529.174;bGypBar|ENSGALT00010003529.258;bGypBar|ENSGALT00010003529.259;bGypBar|ENSGALT00010003529.510;bGypBar|ENSGALT00010003529.514;bGypBar|ENSGALT00010003529.5611;bGypBar|ENSGALT00010005439.148;bGypBar|ENSGALT00010005439.181;bGypHim|ENSGALT00010003529.10034;bGypHim|ENSGALT00010003529.10505;bGypHim|ENSGALT00010003529.8906
cluster34	27	P0C1H5	GO:0006334; P:nucleosome assembly; IBA:GO_Central	bGalGal|ENSGALP00010016494.1;bGalGal|ENSGALP00010017175.1;bGalGal|ENSGALP00010020330.1;bGalGal|ENSGALP00010020343.1;bGymCal|ENSGALT00010028687.1;bGymCal|ENSGALT00010029158.1;bGymCal|ENSGALT00010029158.3174;bGymCal|ENSGALT00010029346.1928;bGymCal|ENSGALT00010029546.1;bGymCal|ENSGALT00010034597.1;bGymCal|ENSGALT00010034597.925;bGymCal|ENSGALT00010034665.3157;bGypBar|ENSGALT00010028687.23;bGypBar|ENSGALT00010029158.1601;bGypBar|ENSGALT00010029158.23;bGypBar|ENSGALT00010029546.23;bGypBar|ENSGALT00010029546.555;bGypBar|ENSGALT00010034597.23;bGypBar|ENSGALT00010034597.555;bGypBar|ENSGALT00010034665.1149;bGypHim|ENSGALT00010028687.226;bGypHim|ENSGALT00010029158.2043;bGypHim|ENSGALT00010029158.226;bGypHim|ENSGALT00010029546.226;bGypHim|ENSGALT00010029546.919;bGypHim|ENSGALT00010034597.226;bGypHim|ENSGALT00010034597.919
cluster35	27	Q6ZUA9	N/A	bGalGal|ENSGALP00010032262.1;bGymCal|ENSGALT00010053545.3136;bGymCal|ENSGALT00010053545.6584;bGymCal|ENSGALT00010053545.6852;bGymCal|ENSGALT00010053545.8574;bGymCal|ENSGALT00010053559.8610;bGypBar|ENSGALT00010014176.1858;bGypBar|ENSGALT00010014176.3563;bGypBar|ENSGALT00010014176.6362;bGypBar|ENSGALT00010014204.3810;bGypBar|ENSGALT00010053559.1489;bGypBar|ENSGALT00010053559.2261;bGypBar|ENSGALT00010053559.2358;bGypBar|ENSGALT00010053559.3368;bGypBar|ENSGALT00010053559.4298;bGypBar|ENSGALT00010053559.6528;bGypBar|ENSGALT00010053559.6547;bGypHim|ENSGALT00010014176.18537;bGypHim|ENSGALT00010014176.18680;bGypHim|ENSGALT00010014176.28730;bGypHim|ENSGALT00010014176.8362;bGypHim|ENSGALT00010014176.8416;bGypHim|ENSGALT00010014204.2767;bGypHim|ENSGALT00010018472.3432;bGypHim|ENSGALT00010023119.18679;bGypHim|ENSGALT00010053559.4857;bVulGry|ENSGALT00010014204.12181
cluster37	26	Q3MHM5	GO:0000278; P:mitotic cell cycle; IBA:GO_Central	bGalGal|ENSGALP00010001325.1;bGalGal|ENSGALP00010010881.1;bGalGal|ENSGALP00010015496.1;bGalGal|ENSGALP00010017690.1;bGalGal|ENSGALP00010022666.1;bGalGal|ENSGALP00010040845.1;bGymCal|ENSGALT00010002775.2;bGymCal|ENSGALT00010019333.12;bGymCal|ENSGALT00010030507.2;bGymCal|ENSGALT00010039275.37;bGymCal|ENSGALT00010066714.16;bGypBar|ENSGALT00010002775.1;bGypBar|ENSGALT00010019333.9042;bGypBar|ENSGALT00010027214.13;bGypBar|ENSGALT00010030507.13;bGypBar|ENSGALT00010039275.52;bGypBar|ENSGALT00010066714.27;bGypHim|ENSGALT00010002775.54;bGypHim|ENSGALT00010019333.12933;bGypHim|ENSGALT00010027214.18;bGypHim|ENSGALT00010030507.18;bGypHim|ENSGALT00010039275.323;bGypHim|ENSGALT00010066714.92;bVulGry|ENSGALT00010002775.2;bVulGry|ENSGALT00010039275.38;bVulGry|ENSGALT00010066714.16
cluster42	24	P08284	GO:0006355; P:regulation of transcription, DNA-templated; IBA:GO_Central	bGalGal|ENSGALP00010016498.1;bGalGal|ENSGALP00010016885.1;bGalGal|ENSGALP00010020359.1;bGalGal|ENSGALP00010020372.1;bGymCal|ENSGALT00010029128.1;bGymCal|ENSGALT00010029128.10468;bGymCal|ENSGALT00010029129.925;bGymCal|ENSGALT00010034698.1928;bGymCal|ENSGALT00010034740.1;bGymCal|ENSGALT00010034740.2594;bGypBar|ENSGALT00010028693.23;bGypBar|ENSGALT00010029128.23;bGypBar|ENSGALT00010029129.555;bGypBar|ENSGALT00010034698.1001;bGypBar|ENSGALT00010034740.1359;bGypBar|ENSGALT00010034740.23;bGypHim|ENSGALT00010029128.226;bGypHim|ENSGALT00010029128.2668;bGypHim|ENSGALT00010029129.919;bGypHim|ENSGALT00010034698.1290;bGypHim|ENSGALT00010034698.2159;bGypHim|ENSGALT00010034740.226;bVulGry|ENSGALT00010028693.461;bVulGry|ENSGALT00010029128.1
cluster45	23	N/A	N/A	bGalGal|ENSGALP00010002408.1;bGalGal|ENSGALP00010002804.1;bGalGal|ENSGALP00010003229.1;bGymCal|ENSGALT00010004111.4698;bGymCal|ENSGALT00010004111.4746;bGymCal|ENSGALT00010004111.7778;bGypBar|ENSGALT00010004111.1664;bGypBar|ENSGALT00010004111.1667;bGypBar|ENSGALT00010004111.1668;bGypBar|ENSGALT00010004111.1669;bGypBar|ENSGALT00010004111.1738;bGypBar|ENSGALT00010004111.1740;bGypBar|ENSGALT00010004111.2017;bGypBar|ENSGALT00010004111.3223;bGypHim|ENSGALT00010004111.1706;bGypHim|ENSGALT00010004111.1708;bGypHim|ENSGALT00010004111.1846;bGypHim|ENSGALT00010004111.2855;bGypHim|ENSGALT00010004111.4256;bGypHim|ENSGALT00010004111.5748;bGypHim|ENSGALT00010004111.5905;bGypHim|ENSGALT00010004111.6216;bVulGry|ENSGALT00010004111.839
cluster46	23	N/A	N/A	bGalGal|ENSGALP00010014891.1;bGalGal|ENSGALP00010014987.1;bGalGal|ENSGALP00010015002.1;bGalGal|ENSGALP00010015009.1;bGalGal|ENSGALP00010015027.1;bGymCal|ENSGALT00010026363.2402;bGymCal|ENSGALT00010026378.1079;bGymCal|ENSGALT00010026378.1430;bGymCal|ENSGALT00010026378.2231;bGymCal|ENSGALT00010026378.2236;bGymCal|ENSGALT00010026378.2402;bGymCal|ENSGALT00010026378.373;bGymCal|ENSGALT00010026378.393;bGymCal|ENSGALT00010026378.4205;bGymCal|ENSGALT00010026378.725;bGymCal|ENSGALT00010026378.9187;bGymCal|ENSGALT00010026378.9600;bGymCal|ENSGALT00010026409.373;bGypBar|ENSGALT00010026378.249;bGypBar|ENSGALT00010026378.4063;bGypHim|ENSGALT00010026378.1204;bGypHim|ENSGALT00010026378.1424;bGypHim|ENSGALT00010026378.2013
cluster51	22	Q8NGE5	GO:0004984; F:olfactory receptor activity; IBA:GO_Central	bGalGal|ENSGALP00010037585.1;bGymCal|ENSGALT00010002951.21722;bGymCal|ENSGALT00010003015.59366;bGymCal|ENSGALT00010003015.78051;bGymCal|ENSGALT00010003015.8945;bGymCal|ENSGALT00010003016.21342;bGymCal|ENSGALT00010003016.30168;bGymCal|ENSGALT00010003244.61468;bGymCal|ENSGALT00010003279.14060;bGymCal|ENSGALT00010003565.37915;bGymCal|ENSGALT00010003580.14346;bGymCal|ENSGALT00010004098.7295;bGymCal|ENSGALT00010053882.82157;bGymCal|ENSGALT00010053988.59468;bGymCal|ENSGALT00010060826.11;bGypBar|ENSGALT00010003004.70319;bGypBar|ENSGALT00010003212.14028;bGypBar|ENSGALT00010003580.12056;bGypHim|ENSGALT00010002916.138670;bVulGry|ENSGALT00010004014.134956;bVulGry|ENSGALT00010004522.1052;bVulGry|ENSGALT00010060826.11
cluster52	22	P19180	GO:0003823; F:antigen binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010038382.1;bGalGal|ENSGALP00010038388.1;bGalGal|ENSGALP00010038405.1;bGalGal|ENSGALP00010038523.1;bGalGal|ENSGALP00010038615.1;bGalGal|ENSGALP00010038638.1;bGalGal|ENSGALP00010038641.1;bGalGal|ENSGALP00010038712.1;bGalGal|ENSGALP00010038720.1;bGymCal|ENSGALT00010062101.171;bGymCal|ENSGALT00010062101.1939;bGymCal|ENSGALT00010062101.4401;bGymCal|ENSGALT00010062101.4425;bGymCal|ENSGALT00010062101.5402;bGymCal|ENSGALT00010062101.7749;bGymCal|ENSGALT00010062379.16913;bGypBar|ENSGALT00010062317.26012;bGypBar|ENSGALT00010062472.4062;bGypBar|ENSGALT00010062472.49;bGypHim|ENSGALT00010008429.150401;bGypHim|ENSGALT00010062317.47207;bGypHim|ENSGALT00010062317.59167
