# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster775	8	Q96P47	GO:0007165; P:signal transduction; IEA:InterPro	bGalGal|ENSGALP00010017499.1;bGalGal|ENSGALP00010037719.1;bGypBar|ENSGALT00010030127.37;bGypBar|ENSGALT00010060973.3;bGypHim|ENSGALT00010030127.139;bGypHim|ENSGALT00010060973.518;bVulGry|ENSGALT00010030127.28;bVulGry|ENSGALT00010060973.2
cluster829	7	E1C8P7	GO:0007416; P:synapse assembly; IDA:UniProtKB	bGalGal|ENSGALP00010000301.1;bGalGal|ENSGALP00010019428.1;bGalGal|ENSGALP00010034503.1;bGypBar|ENSGALT00010056761.72;bGypHim|ENSGALT00010056761.287;bVulGry|ENSGALT00010032801.1;bVulGry|ENSGALT00010056761.57
cluster832	7	Q9Y2E6	GO:0032479; P:regulation of type I interferon production; TAS:Reactome	bGalGal|ENSGALP00010000411.1;bGalGal|ENSGALP00010039245.1;bGypBar|ENSGALT00010000752.59;bGypBar|ENSGALT00010063583.123;bGypHim|ENSGALT00010063583.604;bVulGry|ENSGALT00010000752.42;bVulGry|ENSGALT00010063583.104
cluster841	7	D2KUZ7	GO:0030512; P:negative regulation of transforming growth factor beta receptor signaling pathway; ISS:UniProtKB	bGalGal|ENSGALP00010001769.1;bGalGal|ENSGALP00010020856.1;bGymCal|ENSGALT00010003323.2;bGypBar|ENSGALT00010003323.1;bGypBar|ENSGALT00010035935.52;bVulGry|ENSGALT00010003323.2;bVulGry|ENSGALT00010035935.38
cluster884	7	P04626	GO:0042060; P:wound healing; IDA:BHF-UCL	bGalGal|ENSGALP00010009717.1;bGalGal|ENSGALP00010015962.1;bGalGal|ENSGALP00010036486.1;bGypBar|ENSGALT00010017581.43;bGypBar|ENSGALT00010059723.49;bGypHim|ENSGALT00010017581.59;bVulGry|ENSGALT00010059723.36
cluster897	7	A5D7I4	GO:0006486; P:protein glycosylation; IEA:UniProtKB-UniPathway	bGalGal|ENSGALP00010012343.1;bGalGal|ENSGALP00010019176.1;bGypBar|ENSGALT00010021648.1;bGypBar|ENSGALT00010032411.192;bGypHim|ENSGALT00010021648.38;bGypHim|ENSGALT00010032411.642;bVulGry|ENSGALT00010021648.2
cluster904	7	Q8TA93	GO:0007165; P:signal transduction; IBA:GO_Central	bGalGal|ENSGALP00010013296.1;bGalGal|ENSGALP00010042072.1;bGypBar|ENSGALT00010022998.7;bGypBar|ENSGALT00010068329.86;bGypHim|ENSGALT00010022998.90;bGypHim|ENSGALT00010068329.497;bVulGry|ENSGALT00010022996.6
cluster929	7	O15943	GO:0031290; P:retinal ganglion cell axon guidance; IMP:FlyBase	bGalGal|ENSGALP00010017199.1;bGalGal|ENSGALP00010037030.1;bGymCal|ENSGALT00010060286.12;bGypBar|ENSGALT00010029576.1;bGypBar|ENSGALT00010060286.17;bVulGry|ENSGALT00010029576.2;bVulGry|ENSGALT00010060286.12
cluster967	7	A0A1D5P556	GO:0016055; P:Wnt signaling pathway; IEA:UniProtKB-KW	bGalGal|ENSGALP00010024165.1;bGalGal|ENSGALP00010028698.1;bGymCal|ENSGALT00010041271.4;bGypHim|ENSGALT00010041271.596;bGypHim|ENSGALT00010048607.159;bVulGry|ENSGALT00010041271.4;bVulGry|ENSGALT00010048607.3
cluster969	7	Q7M3E1	GO:0004252; F:serine-type endopeptidase activity; IEA:InterPro	bGalGal|ENSGALP00010024924.1;bGalGal|ENSGALP00010025507.1;bGalGal|ENSGALP00010029867.1;bGypBar|ENSGALT00010050595.70;bGypHim|ENSGALT00010050595.375;bVulGry|ENSGALT00010042437.53;bVulGry|ENSGALT00010050595.53
cluster1111	6	Q13563	GO:0021510; P:spinal cord development; IEP:UniProtKB	bGalGal|ENSGALP00010004474.1;bGalGal|ENSGALP00010010295.1;bGalGal|ENSGALP00010034017.1;bGypBar|ENSGALT00010007486.4;bGypHim|ENSGALT00010007486.46;bVulGry|ENSGALT00010007486.5
cluster1127	6	P28068	GO:0042102; P:positive regulation of T cell proliferation; IMP:UniProtKB	bGalGal|ENSGALP00010005191.1;bGalGal|ENSGALP00010005204.1;bGypBar|ENSGALT00010008847.767;bGypBar|ENSGALT00010008863.767;bVulGry|ENSGALT00010008847.283;bVulGry|ENSGALT00010008860.283
cluster1145	6	O19113	GO:0001558; P:regulation of cell growth; IEA:InterPro	bGalGal|ENSGALP00010005838.1;bGalGal|ENSGALP00010022284.1;bGalGal|ENSGALP00010036123.1;bGypBar|ENSGALT00010009955.21;bGypHim|ENSGALT00010009955.160;bVulGry|ENSGALT00010009955.3
cluster1149	6	Q6ZNC4	GO:0006357; P:regulation of transcription by RNA polymerase II; IEA:Ensembl	bGalGal|ENSGALP00010006103.1;bGalGal|ENSGALP00010014601.1;bGalGal|ENSGALP00010037527.1;bGypBar|ENSGALT00010010469.1;bGypHim|ENSGALT00010010469.24;bVulGry|ENSGALT00010010469.2
cluster1278	6	Q9Y2W6	GO:0007283; P:spermatogenesis; ISS:UniProtKB	bGalGal|ENSGALP00010014813.1;bGalGal|ENSGALP00010041616.1;bGalGal|ENSGALP00010041691.1;bGypBar|ENSGALT00010026189.11;bGypBar|ENSGALT00010067876.86;bVulGry|ENSGALT00010067873.72
cluster1282	6	Q9UBC0	GO:0048536; P:spleen development; IEA:Ensembl	bGalGal|ENSGALP00010015005.1;bGalGal|ENSGALP00010031981.1;bGalGal|ENSGALP00010042327.1;bGypBar|ENSGALT00010053096.16;bGypHim|ENSGALT00010053096.88;bVulGry|ENSGALT00010053096.11
cluster1363	6	Q8TED1	GO:0034599; P:cellular response to oxidative stress; TAS:Reactome	bGalGal|ENSGALP00010021179.1;bGalGal|ENSGALP00010037571.1;bGalGal|ENSGALP00010041605.1;bGypBar|ENSGALT00010036404.7;bGypHim|ENSGALT00010036404.52;bVulGry|ENSGALT00010036404.6
cluster1402	6	Q92058	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010025221.1;bGalGal|ENSGALP00010025247.1;bGalGal|ENSGALP00010030303.1;bGypBar|ENSGALT00010042731.14;bGypBar|ENSGALT00010051112.92;bVulGry|ENSGALT00010042731.9
cluster1426	6	Q96A46	GO:0055072; P:iron ion homeostasis; IEA:UniProtKB-KW	bGalGal|ENSGALP00010028885.1;bGalGal|ENSGALP00010032673.1;bGypBar|ENSGALT00010054147.9;bGypHim|ENSGALT00010048866.164;bVulGry|ENSGALT00010048866.40;bVulGry|ENSGALT00010054147.8
cluster1473	6	Q61990	GO:0039694; P:viral RNA genome replication; ISO:MGI	bGalGal|ENSGALP00010034601.1;bGalGal|ENSGALP00010036194.1;bGalGal|ENSGALP00010040850.1;bGypBar|ENSGALT00010059301.81;bGypHim|ENSGALT00010059301.540;bVulGry|ENSGALT00010059301.75
cluster1497	6	Q689Z7	GO:0006508; P:proteolysis; IBA:GO_Central	bGalGal|ENSGALP00010039482.1;bGalGal|ENSGALP00010039486.1;bGypBar|ENSGALT00010064262.17642;bGypBar|ENSGALT00010064262.84;bVulGry|ENSGALT00010064262.10005;bVulGry|ENSGALT00010064262.67
cluster1510	6	Q8K274	GO:0016301; F:kinase activity; IBA:GO_Central	bGalGal|ENSGALP00010043887.1;bGalGal|ENSGALP00010043892.1;bGypBar|ENSGALT00010071201.29;bGypHim|ENSGALT00010071196.19;bGypHim|ENSGALT00010071201.19;bVulGry|ENSGALT00010071201.18
cluster1522	5	P52826	GO:0006631; P:fatty acid metabolic process; IEA:UniProtKB-KW	bGalGal|ENSGALP00010000116.1;bGalGal|ENSGALP00010042746.1;bGypBar|ENSGALT00010069321.27;bGypHim|ENSGALT00010069321.91;bVulGry|ENSGALT00010069318.16
cluster1523	5	Q96EL2	GO:0070126; P:mitochondrial translational termination; TAS:Reactome	bGalGal|ENSGALP00010000119.1;bGalGal|ENSGALP00010000125.1;bGypBar|ENSGALT00010000222.1650;bGypBar|ENSGALT00010000222.18514;bVulGry|ENSGALT00010000221.66695
