# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster55	21	Q95154	GO:0007608; P:sensory perception of smell; IBA:GO_Central	bGalGal|ENSGALP00010002380.1;bGymCal|ENSGALT00010001376.7591;bGymCal|ENSGALT00010001379.4523;bGymCal|ENSGALT00010001520.26148;bGymCal|ENSGALT00010001520.8547;bGymCal|ENSGALT00010002951.404;bGymCal|ENSGALT00010003131.14602;bGymCal|ENSGALT00010004083.2063;bGymCal|ENSGALT00010004083.2176;bGymCal|ENSGALT00010005215.11951;bGymCal|ENSGALT00010005215.16331;bGymCal|ENSGALT00010005215.336;bGymCal|ENSGALT00010005215.7704;bGypBar|ENSGALT00010002951.1417;bGypBar|ENSGALT00010003095.5774;bGypHim|ENSGALT00010003580.848;bGypHim|ENSGALT00010004035.6791;bGypHim|ENSGALT00010004083.5952;bGypHim|ENSGALT00010005215.11285;bVulGry|ENSGALT00010001520.2428;bVulGry|ENSGALT00010004083.18667
cluster69	19	Q9BQE3	GO:0000278; P:mitotic cell cycle; IBA:GO_Central	bGalGal|ENSGALP00010001121.1;bGalGal|ENSGALP00010009326.1;bGalGal|ENSGALP00010009974.1;bGalGal|ENSGALP00010014624.1;bGalGal|ENSGALP00010017518.1;bGalGal|ENSGALP00010017522.1;bGalGal|ENSGALP00010030908.1;bGalGal|ENSGALP00010032590.1;bGalGal|ENSGALP00010037018.1;bGalGal|ENSGALP00010037037.1;bGalGal|ENSGALP00010039060.1;bGalGal|ENSGALP00010039196.1;bGymCal|ENSGALT00010002571.9;bGymCal|ENSGALT00010016385.1;bGymCal|ENSGALT00010030167.1;bGymCal|ENSGALT00010030178.1;bGymCal|ENSGALT00010063501.38;bVulGry|ENSGALT00010002571.9;bVulGry|ENSGALT00010063501.37
cluster73	19	P80912	GO:0006355; P:regulation of transcription, DNA-templated; ISS:UniProtKB	bGalGal|ENSGALP00010013236.1;bGymCal|ENSGALT00010000290.3568;bGymCal|ENSGALT00010000290.3571;bGymCal|ENSGALT00010000290.4300;bGymCal|ENSGALT00010000291.13063;bGymCal|ENSGALT00010000291.17059;bGymCal|ENSGALT00010000291.17068;bGymCal|ENSGALT00010000291.3529;bGymCal|ENSGALT00010000291.988;bGymCal|ENSGALT00010000296.1003;bGymCal|ENSGALT00010022896.19538;bGymCal|ENSGALT00010028707.21301;bGypBar|ENSGALT00010000584.3286;bGypBar|ENSGALT00010000584.359;bGypBar|ENSGALT00010000584.361;bGypBar|ENSGALT00010000584.364;bGypBar|ENSGALT00010000584.366;bGypBar|ENSGALT00010000584.528;bGypHim|ENSGALT00010000290.-1
cluster101	16	Q8NHC7	GO:0007608; P:sensory perception of smell; IBA:GO_Central	bGalGal|ENSGALP00010001459.1;bGalGal|ENSGALP00010001682.1;bGymCal|ENSGALT00010002906.5059;bGymCal|ENSGALT00010002913.1238;bGymCal|ENSGALT00010002913.12490;bGymCal|ENSGALT00010002913.13617;bGymCal|ENSGALT00010002913.3867;bGymCal|ENSGALT00010002913.6179;bGymCal|ENSGALT00010002913.794;bGymCal|ENSGALT00010002913.9448;bGymCal|ENSGALT00010003225.149;bGymCal|ENSGALT00010004236.1426;bGypHim|ENSGALT00010003408.37406;bVulGry|ENSGALT00010002913.20354;bVulGry|ENSGALT00010002913.2922;bVulGry|ENSGALT00010003866.878
cluster145	15	Q8VFK7	GO:0007608; P:sensory perception of smell; ISA:MGI	bGalGal|ENSGALP00010032570.1;bGymCal|ENSGALT00010001275.11598;bGymCal|ENSGALT00010002989.185;bGymCal|ENSGALT00010003161.6751;bGymCal|ENSGALT00010003232.4630;bGymCal|ENSGALT00010003357.155;bGymCal|ENSGALT00010003580.1187;bGymCal|ENSGALT00010003729.9271;bGymCal|ENSGALT00010003942.96149;bGymCal|ENSGALT00010054035.11;bGypBar|ENSGALT00010002913.2498;bGypBar|ENSGALT00010004328.4690;bGypBar|ENSGALT00010053882.2968;bGypHim|ENSGALT00010003232.41943;bGypHim|ENSGALT00010054035.382
cluster146	15	P04210	GO:0002377; P:immunoglobulin production; IBA:GO_Central	bGalGal|ENSGALP00010035655.1;bGalGal|ENSGALP00010035717.1;bGalGal|ENSGALP00010035755.1;bGalGal|ENSGALP00010035780.1;bGymCal|ENSGALT00010058627.47;bGymCal|ENSGALT00010058727.12878;bGymCal|ENSGALT00010058790.13511;bGymCal|ENSGALT00010058815.9570;bGypBar|ENSGALT00010058627.26186;bGypHim|ENSGALT00010058644.10186;bGypHim|ENSGALT00010058644.2140;bGypHim|ENSGALT00010058727.5187;bVulGry|ENSGALT00010058627.48;bVulGry|ENSGALT00010058644.3934;bVulGry|ENSGALT00010058822.25675
cluster148	14	Q5VUY2	GO:0052689; F:carboxylic ester hydrolase activity; IEA:InterPro	bGalGal|ENSGALP00010000694.1;bGalGal|ENSGALP00010030129.1;bGalGal|ENSGALP00010030143.1;bGalGal|ENSGALP00010030156.1;bGalGal|ENSGALP00010032493.1;bGalGal|ENSGALP00010032503.1;bGymCal|ENSGALT00010050938.54;bGymCal|ENSGALT00010050952.54;bGymCal|ENSGALT00010053948.54;bGypBar|ENSGALT00010050938.70;bGypBar|ENSGALT00010053948.70;bGypHim|ENSGALT00010050938.397;bGypHim|ENSGALT00010053948.397;bVulGry|ENSGALT00010050952.53
cluster172	14	Q9JIS5	GO:0016082; P:synaptic vesicle priming; IDA:SynGO	bGalGal|ENSGALP00010015527.1;bGalGal|ENSGALP00010028880.1;bGalGal|ENSGALP00010042835.1;bGymCal|ENSGALT00010027268.145;bGymCal|ENSGALT00010027268.6;bGymCal|ENSGALT00010048854.11;bGymCal|ENSGALT00010069574.224;bGypBar|ENSGALT00010027268.7;bGypBar|ENSGALT00010048854.16;bGypBar|ENSGALT00010069574.162;bGypHim|ENSGALT00010027268.25;bVulGry|ENSGALT00010027268.6;bVulGry|ENSGALT00010048854.11;bVulGry|ENSGALT00010069574.127
cluster198	13	P30205	GO:0005044; F:scavenger receptor activity; IEA:InterPro	bGalGal|ENSGALP00010014327.1;bGymCal|ENSGALT00010025296.2984;bGymCal|ENSGALT00010025303.2876;bGymCal|ENSGALT00010025303.2916;bGymCal|ENSGALT00010025303.3216;bGypBar|ENSGALT00010025303.1488;bGypBar|ENSGALT00010025303.1680;bGypHim|ENSGALT00010025303.1938;bGypHim|ENSGALT00010025303.1940;bGypHim|ENSGALT00010025303.1953;bGypHim|ENSGALT00010025303.1957;bGypHim|ENSGALT00010025303.2011;bGypHim|ENSGALT00010025303.2462
cluster214	13	N/A	N/A	bGalGal|ENSGALP00010044066.1;bGalGal|ENSGALP00010044126.1;bGalGal|ENSGALP00010044133.1;bGalGal|ENSGALP00010044134.1;bGymCal|ENSGALT00010071436.18;bGymCal|ENSGALT00010071443.15667;bGymCal|ENSGALT00010071443.18;bGymCal|ENSGALT00010071443.408;bGymCal|ENSGALT00010071443.461;bGypBar|ENSGALT00010071376.29;bGypBar|ENSGALT00010071443.268;bGypHim|ENSGALT00010071443.704;bVulGry|ENSGALT00010071436.793
cluster219	12	Q9UH99	GO:0030335; P:positive regulation of cell migration; ISS:UniProtKB	bGalGal|ENSGALP00010004583.1;bGalGal|ENSGALP00010004654.1;bGalGal|ENSGALP00010005996.1;bGalGal|ENSGALP00010040452.1;bGymCal|ENSGALT00010007652.12973;bGymCal|ENSGALT00010007652.1786;bGymCal|ENSGALT00010007652.2258;bGymCal|ENSGALT00010007652.2453;bGymCal|ENSGALT00010007741.23117;bGymCal|ENSGALT00010007741.23279;bGymCal|ENSGALT00010018590.58644;bGymCal|ENSGALT00010018590.88680
cluster223	12	N/A	N/A	bGalGal|ENSGALP00010007193.1;bGalGal|ENSGALP00010007211.1;bGalGal|ENSGALP00010009404.1;bGalGal|ENSGALP00010009418.1;bGalGal|ENSGALP00010009423.1;bGalGal|ENSGALP00010009456.1;bGalGal|ENSGALP00010009965.1;bGalGal|ENSGALP00010009967.1;bGalGal|ENSGALP00010009969.1;bGymCal|ENSGALT00010016628.11654;bGymCal|ENSGALT00010016628.18169;bGymCal|ENSGALT00010016628.5457
cluster235	12	Q3MHR3	GO:2000582; P:positive regulation of ATP-dependent microtubule motor activity, plus-end-directed; IBA:GO_Central	bGalGal|ENSGALP00010030527.1;bGalGal|ENSGALP00010030533.1;bGalGal|ENSGALP00010030686.1;bGalGal|ENSGALP00010043222.1;bGymCal|ENSGALT00010051506.47;bGymCal|ENSGALT00010051506.47606;bGymCal|ENSGALT00010070529.17;bGypBar|ENSGALT00010051495.17453;bGypBar|ENSGALT00010051495.64;bGypHim|ENSGALT00010051495.28493;bGypHim|ENSGALT00010051506.163;bVulGry|ENSGALT00010070529.17
cluster237	12	Q7TQQ0	GO:0007608; P:sensory perception of smell; ISA:MGI	bGalGal|ENSGALP00010043067.1;bGymCal|ENSGALT00010003161.6678;bGymCal|ENSGALT00010004030.21004;bGymCal|ENSGALT00010004046.21070;bGymCal|ENSGALT00010004166.37936;bGymCal|ENSGALT00010054039.47523;bGypBar|ENSGALT00010004209.74497;bGypBar|ENSGALT00010007667.35011;bGypHim|ENSGALT00010003080.122275;bGypHim|ENSGALT00010003433.87876;bVulGry|ENSGALT00010002906.53610;bVulGry|ENSGALT00010003433.29943
cluster288	11	P10587	GO:0006939; P:smooth muscle contraction; ISS:UniProtKB	bGalGal|ENSGALP00010021016.1;bGalGal|ENSGALP00010029459.1;bGalGal|ENSGALP00010043668.1;bGymCal|ENSGALT00010036169.1;bGymCal|ENSGALT00010049867.57;bGymCal|ENSGALT00010070977.18;bGypBar|ENSGALT00010036169.18;bGypBar|ENSGALT00010049867.77;bGypHim|ENSGALT00010049858.460;bVulGry|ENSGALT00010036169.1;bVulGry|ENSGALT00010049867.55
cluster292	11	Q9NNZ5	GO:0050718; P:positive regulation of interleukin-1 beta secretion; IEA:Ensembl	bGalGal|ENSGALP00010027746.1;bGalGal|ENSGALP00010034381.1;bGalGal|ENSGALP00010034417.1;bGymCal|ENSGALT00010046583.147;bGymCal|ENSGALT00010056642.82;bGymCal|ENSGALT00010056683.82;bGypBar|ENSGALT00010056642.96;bGypBar|ENSGALT00010056683.96;bGypHim|ENSGALT00010056642.331;bVulGry|ENSGALT00010056642.80;bVulGry|ENSGALT00010056683.80
cluster325	10	N/A	N/A	bGalGal|ENSGALP00010002740.1;bGalGal|ENSGALP00010004887.1;bGymCal|ENSGALT00010004500.1;bGymCal|ENSGALT00010008214.1;bGymCal|ENSGALT00010008214.27036;bGypBar|ENSGALT00010004500.15;bGypBar|ENSGALT00010008214.15;bGypBar|ENSGALT00010008214.9965;bGypHim|ENSGALT00010008214.44;bVulGry|ENSGALT00010004500.1
cluster374	10	Q9DAG9	GO:0046872; F:metal ion binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010007708.1;bGalGal|ENSGALP00010009640.1;bGalGal|ENSGALP00010043241.1;bGalGal|ENSGALP00010044353.1;bGalGal|ENSGALP00010044356.1;bGalGal|ENSGALP00010044362.1;bGymCal|ENSGALT00010017441.292797;bGymCal|ENSGALT00010071666.15146;bGypBar|ENSGALT00010071663.6994;bGypHim|ENSGALT00010071663.10329
cluster448	10	Q90873	GO:0002286; P:T cell activation involved in immune response; IBA:GO_Central	bGalGal|ENSGALP00010017190.1;bGymCal|ENSGALT00010029563.6;bGymCal|ENSGALT00010029588.10050;bGymCal|ENSGALT00010029588.14873;bGymCal|ENSGALT00010029597.135;bGymCal|ENSGALT00010029597.14873;bGypBar|ENSGALT00010029563.7;bGypBar|ENSGALT00010029750.106;bGypBar|ENSGALT00010029750.7;bGypHim|ENSGALT00010029563.153
cluster453	10	N/A	N/A	bGalGal|ENSGALP00010017398.1;bGymCal|ENSGALT00010029877.1430;bGymCal|ENSGALT00010029877.3082;bGymCal|ENSGALT00010029877.479;bGypBar|ENSGALT00010029877.19;bGypBar|ENSGALT00010029877.3793;bGypHim|ENSGALT00010029877.3341;bGypHim|ENSGALT00010029877.3793;bGypHim|ENSGALT00010029877.4432;bGypHim|ENSGALT00010029877.4532
cluster551	10	Q8TAA9	GO:0060071; P:Wnt signaling pathway, planar cell polarity pathway; NAS:ParkinsonsUK-UCL	bGalGal|ENSGALP00010038354.1;bGalGal|ENSGALP00010041035.1;bGymCal|ENSGALT00010062073.1;bGymCal|ENSGALT00010067128.4005;bGymCal|ENSGALT00010067128.73;bGypBar|ENSGALT00010062073.6;bGypBar|ENSGALT00010067128.86;bGypHim|ENSGALT00010062073.7;bGypHim|ENSGALT00010067128.417;bVulGry|ENSGALT00010062073.1
cluster558	10	P04459	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010042515.1;bGymCal|ENSGALT00010001081.14939;bGymCal|ENSGALT00010069045.73;bGymCal|ENSGALT00010069866.98;bGypBar|ENSGALT00010069053.819;bGypBar|ENSGALT00010069072.86;bGypBar|ENSGALT00010069866.4943;bGypBar|ENSGALT00010069866.515;bGypHim|ENSGALT00010001048.21650;bVulGry|ENSGALT00010069045.72
cluster628	9	Q96T71	GO:0006355; P:regulation of transcription, DNA-templated; IEA:InterPro	bGalGal|ENSGALP00010013909.1;bGalGal|ENSGALP00010029839.1;bGymCal|ENSGALT00010024505.101;bGymCal|ENSGALT00010024509.6;bGymCal|ENSGALT00010050548.11;bGypBar|ENSGALT00010050548.16;bGypHim|ENSGALT00010050548.58;bVulGry|ENSGALT00010024509.6;bVulGry|ENSGALT00010050548.11
cluster687	9	Q96LI6	GO:0061408; P:positive regulation of transcription from RNA polymerase II promoter in response to heat stress; IBA:GO_Central	bGalGal|ENSGALP00010028139.1;bGymCal|ENSGALT00010032173.34328;bGymCal|ENSGALT00010047528.73152;bGymCal|ENSGALT00010047528.76603;bGymCal|ENSGALT00010047528.77547;bGymCal|ENSGALT00010047528.78673;bGypBar|ENSGALT00010047528.33748;bGypHim|ENSGALT00010032173.63120;bGypHim|ENSGALT00010047528.53377
cluster758	8	Q3ZBS1	GO:0015031; P:protein transport; IEA:UniProtKB-KW	bGalGal|ENSGALP00010011596.1;bGymCal|ENSGALT00010020033.22;bGymCal|ENSGALT00010020033.3518;bGymCal|ENSGALT00010020033.5523;bGypBar|ENSGALT00010020033.32;bGypBar|ENSGALT00010020033.3386;bGypHim|ENSGALT00010020033.329;bVulGry|ENSGALT00010020033.21
cluster816	8	P02450	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010042558.1;bGalGal|ENSGALP00010042954.1;bGymCal|ENSGALT00010069112.73;bGymCal|ENSGALT00010069116.73;bGymCal|ENSGALT00010069828.73;bGypBar|ENSGALT00010069112.86;bGypHim|ENSGALT00010069829.587;bVulGry|ENSGALT00010069828.72
